openalex_id,display_name,normalized_name,include,level,wikidata_id,parent_display_names
https://openalex.org/c97137747,Forestry,forestry,N,1,https://www.wikidata.org/wiki/Q38112,Geography
https://openalex.org/c100970517,Physical geography,physical geography,Y,1,https://www.wikidata.org/wiki/Q52107,Geography
https://openalex.org/c118487528,Ophthalmology,ophthalmology,N,1,https://www.wikidata.org/wiki/Q161437,Medicine
https://openalex.org/c148383697,Regional science,regional science,Y,1,https://www.wikidata.org/wiki/Q1781695,"Geography, Sociology"
https://openalex.org/c151730666,Paleontology,paleontology,N,1,https://www.wikidata.org/wiki/Q7205,"Biology, Geology"
https://openalex.org/c40700,Industrial organization,industrial organization,N,1,https://www.wikidata.org/wiki/Q1411783,"Business, Economics"
https://openalex.org/c4249254,Demographic economics,demographic economics,N,1,https://www.wikidata.org/wiki/Q3044431,Economics
https://openalex.org/c16674752,Mining engineering,mining engineering,N,1,https://www.wikidata.org/wiki/Q1370637,"Engineering, Geology"
https://openalex.org/c21951064,Combinatorial chemistry,combinatorial chemistry,N,1,https://www.wikidata.org/wiki/Q899212,Chemistry
https://openalex.org/c44154836,Simulation,simulation,N,1,https://www.wikidata.org/wiki/Q45045,"Computer science, Engineering"
https://openalex.org/c48824518,Agricultural economics,agricultural economics,N,1,https://www.wikidata.org/wiki/Q396340,Economics
https://openalex.org/c76155785,Telecommunications,telecommunications,N,1,https://www.wikidata.org/wiki/Q418,"Computer science, Engineering"
https://openalex.org/c111919701,Operating system,operating system,N,1,https://www.wikidata.org/wiki/Q9135,Computer science
https://openalex.org/c118615104,Discrete mathematics,discrete mathematics,N,1,https://www.wikidata.org/wiki/Q121416,Mathematics
https://openalex.org/c136764020,World Wide Web,world wide web,N,1,https://www.wikidata.org/wiki/Q466,Computer science
https://openalex.org/c145420912,Mathematics education,mathematics education,N,1,https://www.wikidata.org/wiki/Q853077,"Mathematics, Psychology"
https://openalex.org/c150903083,Biotechnology,biotechnology,N,1,https://www.wikidata.org/wiki/Q7108,Biology
https://openalex.org/c173608175,Parallel computing,parallel computing,N,1,https://www.wikidata.org/wiki/Q232661,Computer science
https://openalex.org/c178550888,Business administration,business administration,N,1,https://www.wikidata.org/wiki/Q2043282,Business
https://openalex.org/c184779094,Atomic physics,atomic physics,N,1,https://www.wikidata.org/wiki/Q26383,Physics
https://openalex.org/c187736073,Management,management,Y,1,https://www.wikidata.org/wiki/Q2920921,Economics
https://openalex.org/c201995342,Systems engineering,systems engineering,Y,1,https://www.wikidata.org/wiki/Q682496,Engineering
https://openalex.org/c548081761,Waste management,waste management,N,1,https://www.wikidata.org/wiki/Q180388,Engineering
https://openalex.org/c10138342,Finance,finance,N,1,https://www.wikidata.org/wiki/Q43015,"Business, Economics"
https://openalex.org/c58640448,Cartography,cartography,N,1,https://www.wikidata.org/wiki/Q42515,Geography
https://openalex.org/c459310,Computational science,computational science,Y,1,https://www.wikidata.org/wiki/Q117801,"Computer science, Mathematics"
https://openalex.org/c74363100,Economic system,economic system,N,1,https://www.wikidata.org/wiki/Q273005,Economics
https://openalex.org/c107993555,Gender studies,gender studies,N,1,https://www.wikidata.org/wiki/Q1662673,Sociology
https://openalex.org/c117671659,Manufacturing engineering,manufacturing engineering,N,1,https://www.wikidata.org/wiki/Q11049265,Engineering
https://openalex.org/c16005928,Dermatology,dermatology,N,1,https://www.wikidata.org/wiki/Q171171,Medicine
https://openalex.org/c23123220,Information retrieval,information retrieval,N,1,https://www.wikidata.org/wiki/Q816826,Computer science
https://openalex.org/c38652104,Computer security,computer security,N,1,https://www.wikidata.org/wiki/Q3510521,Computer science
https://openalex.org/c55493867,Biochemistry,biochemistry,N,1,https://www.wikidata.org/wiki/Q7094,"Biology, Chemistry"
https://openalex.org/c56739046,Knowledge management,knowledge management,N,1,https://www.wikidata.org/wiki/Q192060,Computer science
https://openalex.org/c57879066,Mechanics,mechanics,N,1,https://www.wikidata.org/wiki/Q41217,Physics
https://openalex.org/c202444582,Pure mathematics,pure mathematics,N,1,https://www.wikidata.org/wiki/Q837863,Mathematics
https://openalex.org/c502942594,Cancer research,cancer research,N,1,https://www.wikidata.org/wiki/Q3421914,"Biology, Medicine"
https://openalex.org/c98274493,Pharmacology,pharmacology,N,1,https://www.wikidata.org/wiki/Q128406,"Biology, Medicine"
https://openalex.org/c106159729,Financial economics,financial economics,N,1,https://www.wikidata.org/wiki/Q2294553,Economics
https://openalex.org/c140793950,Animal science,animal science,Y,1,https://www.wikidata.org/wiki/Q168091,Biology
https://openalex.org/c11171543,Psychoanalysis,psychoanalysis,N,1,https://www.wikidata.org/wiki/Q41630,Psychology
https://openalex.org/c13965031,Nuclear chemistry,nuclear chemistry,N,1,https://www.wikidata.org/wiki/Q243545,Chemistry
https://openalex.org/c18547055,International economics,international economics,N,1,https://www.wikidata.org/wiki/Q47417,Economics
https://openalex.org/c31972630,Computer vision,computer vision,N,1,https://www.wikidata.org/wiki/Q844240,Computer science
https://openalex.org/c59822182,Botany,botany,Y,1,https://www.wikidata.org/wiki/Q441,Biology
https://openalex.org/c62520636,Quantum mechanics,quantum mechanics,N,1,https://www.wikidata.org/wiki/Q944,Physics
https://openalex.org/c99508421,Physical medicine and rehabilitation,physical medicine and rehabilitation,N,1,https://www.wikidata.org/wiki/Q2678675,Medicine
https://openalex.org/c124101348,Data mining,data mining,Y,1,https://www.wikidata.org/wiki/Q172491,Computer science
