,wos_catnum,excluded,included,N
219,Respiratory System,5.0,0.0,5.0
235,Testing,5.0,0.0,5.0
41,Complementary Medicine,4.0,0.0,4.0
54,Crystallography,4.0,0.0,4.0
70,"Engineering, Aerospace",4.0,0.0,4.0
99,Gastroenterology,4.0,0.0,4.0
107,Geriatrics,4.0,0.0,4.0
114,Hepatology,4.0,0.0,4.0
116,History,4.0,0.0,4.0
122,Information Science,4.0,0.0,4.0
125,Integrative,4.0,0.0,4.0
129,Library Science,4.0,0.0,4.0
140,"Materials Science, Composites",4.0,0.0,4.0
161,Mineralogy,4.0,0.0,4.0
183,Paleontology,4.0,0.0,4.0
190,Philosophy Of Science,4.0,0.0,4.0
198,"Physics, Nuclear",4.0,0.0,4.0
6,Anesthesiology,3.0,0.0,3.0
8,Anthropology,3.0,0.0,3.0
10,Archaeology,3.0,0.0,3.0
27,"Business, Finance",3.0,0.0,3.0
35,"Chemistry, Medicinal",3.0,0.0,3.0
91,Fields,3.0,0.0,3.0
112,Health Policy,3.0,0.0,3.0
113,Hematology,3.0,0.0,3.0
181,Orthopedics,3.0,0.0,3.0
199,"Physics, Particles",3.0,0.0,3.0
223,"Social Sciences, Biomedical",3.0,0.0,3.0
16,Audiology,2.0,0.0,2.0
37,"Chemistry, Organic",2.0,0.0,2.0
55,Cultural Studies,2.0,0.0,2.0
58,Developmental Biology,2.0,0.0,2.0
63,"Education, Scientific Disciplines",2.0,0.0,2.0
127,International Relations,2.0,0.0,2.0
131,Linguistics,2.0,0.0,2.0
165,Mycology,2.0,0.0,2.0
173,Nursing,2.0,0.0,2.0
204,Political Science,2.0,0.0,2.0
225,Sociology,2.0,0.0,2.0
228,Speech-Language Pathology,2.0,0.0,2.0
247,Virology,2.0,0.0,2.0
12,Area Studies,1.0,0.0,1.0
40,Communication,1.0,0.0,1.0
53,Criticism,1.0,0.0,1.0
67,Emergency Medicine,1.0,0.0,1.0
87,Ethics,1.0,0.0,1.0
88,Ethnic Studies,1.0,0.0,1.0
92,"Film, Radio, Television",1.0,0.0,1.0
132,Literary Theory,1.0,0.0,1.0
133,Logic,1.0,0.0,1.0
150,Medical Laboratory Technology,1.0,0.0,1.0
178,Oncology,1.0,0.0,1.0
182,Otorhinolaryngology,1.0,0.0,1.0
189,Philosophy,1.0,0.0,1.0
209,"Psychology, Clinical",1.0,0.0,1.0
210,"Psychology, Experimental",1.0,0.0,1.0
211,"Psychology, Social",1.0,0.0,1.0
212,Public Administration,1.0,0.0,1.0
218,Reproductive Biology,1.0,0.0,1.0
222,Social Issues,1.0,0.0,1.0
